# Constructed from biom file
#OTU ID	E3.BT	E5.BT	T1BT.BE	E9.BE	T3BT.BE	E10.BT	E7.BE	T4BT.BE	E8.BE	E8.BT	E13.BE	P4E2.SR3.R4	E16.BT	E13.BT	E6.BT	T4BT.BT	E12.BE	E2.BT	T2BT.BT	E2.BE	B2P3.MV4	B1P7.MV4	E15.BT	T5BT.BE	T1BT.BT	T2BT.BE	E16.BE	E14.BE	E1.BT	E15.BE	E1.BE	E12.BT	E4.BT	E11.BT	E11.BE	E9.BT	E17.BE	E14.BT	E7.BT	T1.MV4	B2P2.MV8	B1P3.MV8	B3P4.MV4	B3P1.MV8	B3P7.MV4	B3P3.MV8	T5.MV4	B3P6.MV8	P4E1.SR3.R4	B2P1.MV8	B3P5.MV8	B2P4.MV4	T1.SR3.R4	T3.MV8	B1P2.MV8	T4.MV8	T5.MV8	B3P7.MV8	B3P2.MV8	B2P7.MV4	B3P5.MV4	T1.MV8	P1E1.SR3.R4	B3P2.MV4	P1E3.SR3.R4	B1P6.MV4	B3P6.MV4	B1P5.MV8	B1P3.MV4	B3P1.MV4	T2.MV4	B1P7.MV8	T4.SR3.R4	B3P4.MV8	T4.MV4	B2P6.MV4	P3E1.SR3.R4	B2P1.MV4	B2P4.MV8	P5E3.SR3R4	P3E4.SR3.R4	B1P1.MV8	B1P8.MV8	B2P6.MV8	B1P4.MV8	B1P4.MV4	T2.MV8	B2P5.MV4	B2P2.MV4	T3.MV4	B2P8.MV8	B1P6.MV8	B1P1.MV4	B1P5.MV4	B2P3.MV8	B3P3.MV4	P5E2.SR3.R4	B2P5.MV8	B2P7.MV8	P3E3.SR3.R4	P1E4.SR3.R4	P3E2.SR3.R4	T6.SR3.R4	T5.SR3.R4	P2E3.SR3.R4	P5E1.SR3.R4	P4E4.SR3.R4	P2E1.SR3.R4	T3.SR3.R4	T2.SR3.R4	P5E4.SR3.R4	P1E2.SR3.R4	P2E4.SR3.R4	P4E3.SR3.R4	P2E2.SR3.R4	B1P2.MV4	ConsensusLineage
OTU4.06453894216689e+32	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU2.13613344942573e+32	0.0	0.0	0.0	0.0	27.0	6.0	7.0	45.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	12.0	0.0	294.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	49.0	13.0	10.0	0.0	0.0	19.0	0.0	32.0	0.0	33.0	0.0	0.0	418.0	0.0	0.0	59.0	372.0	26.0	10.0	63.0	2.0	3.0	246.0	1.0	212.0	8.0	189.0	60.0	10.0	39.0	1.0	4.0	76.0	447.0	1.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU4.4894895535133e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU9.49612551504778e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	95.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales
OTU9.72273699138341e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	11.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	17.0	17.0	666.0	220.0	301.0	236.0	34.0	125.0	231.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; D_11__; D_12__; D_13__; D_14__
OTU2.06470266375621e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU4.01704136015457e+32	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	1.0	22.0	0.0	0.0	7.0	31.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	852.0	18.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	93.0	1023.0	0.0	491.0	0.0	0.0	23.0	0.0	7.0	0.0	0.0	897.0	0.0	0.0	62.0	329.0	1.0	0.0	2686.0	785.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1508.0	0.0	0.0	662.0	344.0	22.0	4983.0	4124.0	949.0	1268.0	809.0	4413.0	1730.0	1005.0	3963.0	95.0	298.0	189.0	1064.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales
OTU6.69761449131233e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	6.0	0.0	12.0	6.0	50.0	3.0	66.0	0.0	0.0	8.0	0.0	4.0	0.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; D_8__uncultured Glomus; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU2.98982016213451e+32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	139.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__
OTU7.58467798776472e+32	1.0	0.0	0.0	2.0	5.0	0.0	6.0	5.0	9.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	395.0	28.0	0.0	6.0	0.0	11.0	3.0	3.0	0.0	15.0	1.0	0.0	3.0	0.0	17.0	3.0	2.0	2.0	1.0	0.0	161.0	53.0	2.0	634.0	51.0	23.0	11.0	8.0	120.0	1.0	29.0	135.0	6.0	355.0	485.0	513.0	5.0	12.0	2.0	224.0	274.0	1786.0	168.0	0.0	2.0	11.0	8.0	0.0	175.0	1.0	4.0	90.0	0.0	49.0	6.0	145.0	88.0	0.0	72.0	0.0	269.0	95.0	16.0	41.0	0.0	5.0	15.0	7.0	4.0	11.0	3.0	7.0	0.0	5.0	0.0	23.0	0.0	7.0	22.0	176.0	21.0	0.0	421.0	276.0	2289.0	2.0	3.0	8.0	4.0	1.0	4.0	4.0	5.0	0.0	238.0	5.0	D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Glomerales
