sample_name	species	growing_stage	bloc	treatment
B1P1_MV4	Corn	early	A	inoculated
B1P2_MV4	Corn	early	A	inoculated
B1P3_MV4	Corn	early	A	inoculated
B1P4_MV4	Corn	early	A	inoculated
B1P5_MV4	Corn	early	A	inoculated
B1P6_MV4	Corn	early	A	inoculated
B1P7_MV4	Corn	early	A	inoculated
B2P1_MV4	Corn	early	B	inoculated
B2P2_MV4	Corn	early	B	inoculated
B2P3_MV4	Corn	early	B	inoculated
B2P4_MV4	Corn	early	B	inoculated
B2P5_MV4	Corn	early	B	inoculated
B2P6_MV4	Corn	early	B	inoculated
B2P7_MV4	Corn	early	B	inoculated
B3P1_MV4	Corn	early	C	inoculated
B3P2_MV4	Corn	early	C	inoculated
B3P3_MV4	Corn	early	C	inoculated
B3P4_MV4	Corn	early	C	inoculated
B3P5_MV4	Corn	early	C	inoculated
B3P6_MV4	Corn	early	C	inoculated
B3P7_MV4	Corn	early	C	inoculated
B1P1_MV8	Corn	late	A	inoculated
B1P2_MV8	Corn	late	A	inoculated
B1P3_MV8	Corn	late	A	inoculated
B1P4_MV8	Corn	late	A	inoculated
B1P5_MV8	Corn	late	A	inoculated
B1P6_MV8	Corn	late	A	inoculated
B1P7_MV8	Corn	late	A	inoculated
B1P8_MV8	Corn	late	A	inoculated
B2P1_MV8	Corn	late	B	inoculated
B2P2_MV8	Corn	late	B	inoculated
B2P3_MV8	Corn	late	B	inoculated
B2P4_MV8	Corn	late	B	inoculated
B2P5_MV8	Corn	late	B	inoculated
B2P6_MV8	Corn	late	B	inoculated
B2P7_MV8	Corn	late	B	inoculated
B2P8_MV8	Corn	late	B	inoculated
B3P1_MV8	Corn	late	C	inoculated
B3P2_MV8	Corn	late	C	inoculated
B3P3_MV8	Corn	late	C	inoculated
B3P4_MV8	Corn	late	C	inoculated
B3P5_MV8	Corn	late	C	inoculated
B3P6_MV8	Corn	late	C	inoculated
B3P7_MV8	Corn	late	C	inoculated
P1E1_SR3_R4	Soy	early	E	inoculated
P1E2_SR3_R4	Soy	early	E	inoculated
P1E3_SR3_R4	Soy	early	E	inoculated
P1E4_SR3_R4	Soy	early	E	inoculated
P2E1_SR3_R4	Soy	early	F	inoculated
P2E2_SR3_R4	Soy	early	F	inoculated
P2E3_SR3_R4	Soy	early	F	inoculated
P2E4_SR3_R4	Soy	early	F	inoculated
P3E1_SR3_R4	Soy	early	G	inoculated
P3E2_SR3_R4	Soy	early	G	inoculated
P3E3_SR3_R4	Soy	early	G	inoculated
P3E4_SR3_R4	Soy	early	G	inoculated
P4E1_SR3_R4	Soy	early	H	inoculated
P4E2_SR3_R4	Soy	early	H	inoculated
P4E3_SR3_R4	Soy	early	H	inoculated
P4E4_SR3_R4	Soy	early	H	inoculated
P5E1_SR3_R4	Soy	early	I	inoculated
P5E2_SR3_R4	Soy	early	I	inoculated
P5E3_SR3R4	Soy	early	I	inoculated
P5E4_SR3_R4	Soy	early	I	inoculated
E10_BT	Wheat	early	D	inoculated
E11_BT	Wheat	early	D	inoculated
E12_BT	Wheat	early	D	inoculated
E13_BT	Wheat	early	D	inoculated
E14_BT	Wheat	early	D	inoculated
E15_BT	Wheat	early	D	inoculated
E16_BT	Wheat	early	D	inoculated
E1_BT	Wheat	early	D	inoculated
E2_BT	Wheat	early	D	inoculated
E3_BT	Wheat	early	D	inoculated
E4_BT	Wheat	early	D	inoculated
E5_BT	Wheat	early	D	inoculated
E6_BT	Wheat	early	D	inoculated
E7_BT	Wheat	early	D	inoculated
E8_BT	Wheat	early	D	inoculated
E9_BT	Wheat	early	D	inoculated
E10_BE	Wheat	late	D	inoculated
E11_BE	Wheat	late	D	inoculated
E12_BE	Wheat	late	D	inoculated
E13_BE	Wheat	late	D	inoculated
E14_BE	Wheat	late	D	inoculated
E15_BE	Wheat	late	D	inoculated
E16_BE	Wheat	late	D	inoculated
E17_BE	Wheat	late	D	inoculated
E1_BE	Wheat	late	D	inoculated
E2_BE	Wheat	late	D	inoculated
E3_BE	Wheat	late	D	inoculated
E4_BE	Wheat	late	D	inoculated
E5_BE	Wheat	late	D	inoculated
E6_BE	Wheat	late	D	inoculated
E7_BE	Wheat	late	D	inoculated
E8_BE	Wheat	late	D	inoculated
E9_BE	Wheat	late	D	inoculated
T1_MV4	Corn	early	M	control
T1_MV8	Corn	late	M	control
T2_MV4	Corn	early	M	control
T2_MV8	Corn	late	M	control
T3_MV4	Corn	early	M	control
T3_MV8	Corn	late	M	control
T4_MV4	Corn	early	M	control
T4_MV8	Corn	late	M	control
T5_MV4	Corn	early	M	control
T5_MV8	Corn	late	M	control
T1_SR3_R4	Soy	early	L	control
T2_SR3_R4	Soy	early	L	control
T3_SR3_R4	Soy	early	L	control
T4_SR3_R4	Soy	early	L	control
T5_SR3_R4	Soy	early	L	control
T6_SR3_R4	Soy	early	L	control
T1BT_BT	Wheat	early	K	control
T2BT_BT	Wheat	early	K	control
T3BT_BT	Wheat	early	K	control
T4BT_BT	Wheat	early	K	control
T1BT_BE	Wheat	late	K	control
T2BT_BE	Wheat	late	K	control
T3BT_BE	Wheat	late	K	control
T4BT_BE	Wheat	late	K	control
T5BT_BE	Wheat	late	K	control
