"VT" "OTU" "E3.BT" "E5.BT" "T1BT.BE" "E9.BE" "T3BT.BE" "E10.BT" "E7.BE" "T4BT.BE" "E8.BE" "E8.BT" "E13.BE" "P4E2.SR3.R4" "E16.BT" "E13.BT" "E6.BT" "T4BT.BT" "E12.BE" "E2.BT" "T2BT.BT" "E2.BE" "B2P3.MV4" "B1P7.MV4" "E15.BT" "T5BT.BE" "T1BT.BT" "T2BT.BE" "E16.BE" "E14.BE" "E1.BT" "E15.BE" "E1.BE" "E12.BT" "E4.BT" "E11.BT" "E11.BE" "E9.BT" "E17.BE" "E14.BT" "E7.BT" "T1.MV4" "B2P2.MV8" "B1P3.MV8" "B3P4.MV4" "B3P1.MV8" "B3P7.MV4" "B3P3.MV8" "T5.MV4" "B3P6.MV8" "P4E1.SR3.R4" "B2P1.MV8" "B3P5.MV8" "B2P4.MV4" "T1.SR3.R4" "T3.MV8" "B1P2.MV8" "T4.MV8" "T5.MV8" "B3P7.MV8" "B3P2.MV8" "B2P7.MV4" "B3P5.MV4" "T1.MV8" "P1E1.SR3.R4" "B3P2.MV4" "P1E3.SR3.R4" "B1P6.MV4" "B3P6.MV4" "B1P5.MV8" "B1P3.MV4" "B3P1.MV4" "T2.MV4" "B1P7.MV8" "T4.SR3.R4" "B3P4.MV8" "T4.MV4" "B2P6.MV4" "P3E1.SR3.R4" "B2P1.MV4" "B2P4.MV8" "P5E3.SR3R4" "P3E4.SR3.R4" "B1P1.MV8" "B1P8.MV8" "B2P6.MV8" "B1P4.MV8" "B1P4.MV4" "T2.MV8" "B2P5.MV4" "B2P2.MV4" "T3.MV4" "B2P8.MV8" "B1P6.MV8" "B1P1.MV4" "B1P5.MV4" "B2P3.MV8" "B3P3.MV4" "P5E2.SR3.R4" "B2P5.MV8" "B2P7.MV8" "P3E3.SR3.R4" "P1E4.SR3.R4" "P3E2.SR3.R4" "T6.SR3.R4" "T5.SR3.R4" "P2E3.SR3.R4" "P5E1.SR3.R4" "P4E4.SR3.R4" "P2E1.SR3.R4" "T3.SR3.R4" "T2.SR3.R4" "P5E4.SR3.R4" "P1E2.SR3.R4" "P2E4.SR3.R4" "P4E3.SR3.R4" "P2E2.SR3.R4" "B1P2.MV4" "OTU.phylogeny"
"VTX00024" "OTU2.87233649374205e+32" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 1 5 106 13 12 15 27 15 32 32 3 3395 11 1 4 23 11 2 6 34 7 983 0 1 3 2 0 7 1 1 37 180 15 1 1 356 1 8 1 219 76 0 0 1 0 1 2 0 1 1 1 10 19 11 75 2 5 7 2 189 157 10 0 12 0 320 6 1815 38 665 236 236 8 474 24 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00024" "OTU1.87652343176897e+32" 4 2 1 0 2 4 1 0 1 8 3 216 1 2 2 1 1 1 2 2 902 12356 0 2 2 2 3 2 3 2 1 1 4 1 4 22 1 1 2 4078 2051 141 3921 23177 5216 6037 4783 8116 6178 8543 10083 807 3787 3350 235 2174 9696 6636 826 2117 4225 3196 3695 540 400 1665 721 495 2283 522 255 11907 15621 4452 1010 2141 1850 1405 3372 1573 2786 19793 166 826 1 980 338 845 743 263 127 232 3854 6614 2787 12049 1336 868 3071 1322 1056 673 5946 756 2707 646 1487 419 1931 1148 752 8746 291 3549 4509 7891 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00024" "OTU5.58031619832953e+32" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 2 0 10 37 17 18 14 16 4 30 36 2 0 14 1 5 25 35 2 0 6 9 2 0 5 4 2 3 8 1 1 9 12 16 0 5 4 3 10 12 22 48 1 3 0 2 2 2 2 3 0 0 1 11 5 21 0 5 7 1 2 0 11 3 0 0 3 0 8 2 2 19 1 20 1 14 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00024" "OTU7.11717566060791e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 7 2 0 1 3 3 1 5 1 0 0 0 1 5 0 1 0 3 0 0 0 0 3 0 0 1 0 0 1 2 2 0 0 0 0 0 0 0 10 0 0 0 1 0 0 1 0 0 0 0 3 0 11 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 10 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00024" "OTU7.51735836325242e+32" 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 45 1132 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 183 99 0 106 1727 490 456 369 426 525 914 728 90 0 246 4 105 824 276 162 162 365 188 4 0 0 66 30 0 207 6 0 194 330 318 0 90 33 0 89 0 0 1800 0 60 0 72 11 0 71 11 0 0 0 352 229 1215 0 27 162 83 98 3 269 1 0 0 0 4 220 1 1 0 51 278 101 1407 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00024" "OTU1.72215578932189e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 0 15 51 6 26 11 26 5 19 23 3 12 22 1 11 34 41 1 1 13 4 2 0 0 1 0 0 5 1 0 99 16 12 4 4 3 3 11 0 14 51 0 2 0 2 4 0 3 0 0 0 0 9 13 39 4 0 11 5 1 2 16 10 0 2 0 0 1 1 1 2 1 16 4 5 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales; Ambiguous_taxa; D_9__; D_10__; D_11__; D_12__; D_13__; D_14__"
"VTX00026" "OTU3.18658987636631e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 1 26 1 0 0 4 11 8 8 3 2 0 0 5 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU3.76180997443914e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 70 65 0 0 0 36 1284 0 0 0 0 0 0 88 0 0 0 0 1 43 361 0 0 0 0 32 0 0 0 0 687 18 0 0 52 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 93 47 74 214 0 0 0 218 0 0 86 0 410 59 0 1 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
"VTX00026" "OTU3.12328788557476e+32" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 30 32 0 3 31 50 491 30 105 0 20 7 15 9 25 17 4 0 1 14 3 2 237 1 4 5 3 0 2 12 14 14 0 2 1 0 53 0 2 18 19 28 0 3 11 2 7 0 3 115 2 5 0 1 3 33 3 80 17 0 3 5 0 2 18 0 5 10 0 54 42 3 0 11 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Diversisporales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; D_11__; D_12__; D_13__; D_14__"
"VTX00026" "OTU5.187335679814e+30" 0 1 0 0 0 1 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1235 0 0 0 0 0 2 0 0 0 402 0 0 0 1 0 0 0 0 0 2566 0 0 1 33 0 0 0 52 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1515 0 0 538 95 176 3336 1259 0 114 1343 2357 1539 1204 1117 354 0 1 1341 0 "D_0__Eukaryota; D_1__Opisthokonta; D_2__Nucletmycea; D_3__Fungi; D_4__Glomeromycota; D_5__Incertae Sedis; D_6__Glomeromycetes; D_7__Archaeosporales"
